"Step","actor_rollout_ref.model.path: /n/netscratch/dam_lab/Everyone/rl_pretrain/OLMo2-1B-stage1-50B/step3000-hf - critic/score/mean","actor_rollout_ref.model.path: /n/netscratch/dam_lab/Everyone/rl_pretrain/OLMo2-1B-stage1-50B/step3000-hf - critic/score/mean__MIN","actor_rollout_ref.model.path: /n/netscratch/dam_lab/Everyone/rl_pretrain/OLMo2-1B-stage1-50B/step3000-hf - critic/score/mean__MAX","actor_rollout_ref.model.path: /n/netscratch/dam_lab/Everyone/rl_pretrain/OLMo2-1B-stage1-50B/step5000-hf - critic/score/mean","actor_rollout_ref.model.path: /n/netscratch/dam_lab/Everyone/rl_pretrain/OLMo2-1B-stage1-50B/step5000-hf - critic/score/mean__MIN","actor_rollout_ref.model.path: /n/netscratch/dam_lab/Everyone/rl_pretrain/OLMo2-1B-stage1-50B/step5000-hf - critic/score/mean__MAX","actor_rollout_ref.model.path: /n/netscratch/dam_lab/Everyone/rl_pretrain/OLMo2-1B-stage1-50B/step7000-hf - critic/score/mean","actor_rollout_ref.model.path: /n/netscratch/dam_lab/Everyone/rl_pretrain/OLMo2-1B-stage1-50B/step7000-hf - critic/score/mean__MIN","actor_rollout_ref.model.path: /n/netscratch/dam_lab/Everyone/rl_pretrain/OLMo2-1B-stage1-50B/step7000-hf - critic/score/mean__MAX","actor_rollout_ref.model.path: /n/netscratch/dam_lab/Everyone/rl_pretrain/OLMo2-1B-stage1-50B/step6000-hf - critic/score/mean","actor_rollout_ref.model.path: /n/netscratch/dam_lab/Everyone/rl_pretrain/OLMo2-1B-stage1-50B/step6000-hf - critic/score/mean__MIN","actor_rollout_ref.model.path: /n/netscratch/dam_lab/Everyone/rl_pretrain/OLMo2-1B-stage1-50B/step6000-hf - critic/score/mean__MAX","actor_rollout_ref.model.path: /n/netscratch/dam_lab/Everyone/rl_pretrain/OLMo2-1B-stage1-50B/step22000-hf - critic/score/mean","actor_rollout_ref.model.path: /n/netscratch/dam_lab/Everyone/rl_pretrain/OLMo2-1B-stage1-50B/step22000-hf - critic/score/mean__MIN","actor_rollout_ref.model.path: /n/netscratch/dam_lab/Everyone/rl_pretrain/OLMo2-1B-stage1-50B/step22000-hf - critic/score/mean__MAX","actor_rollout_ref.model.path: /n/netscratch/dam_lab/Everyone/rl_pretrain/OLMo2-1B-stage1-50B/step10000-hf - critic/score/mean","actor_rollout_ref.model.path: /n/netscratch/dam_lab/Everyone/rl_pretrain/OLMo2-1B-stage1-50B/step10000-hf - critic/score/mean__MIN","actor_rollout_ref.model.path: /n/netscratch/dam_lab/Everyone/rl_pretrain/OLMo2-1B-stage1-50B/step10000-hf - critic/score/mean__MAX","actor_rollout_ref.model.path: /n/netscratch/dam_lab/Everyone/rl_pretrain/OLMo2-1B-stage1-50B/step14000-hf - critic/score/mean","actor_rollout_ref.model.path: /n/netscratch/dam_lab/Everyone/rl_pretrain/OLMo2-1B-stage1-50B/step14000-hf - critic/score/mean__MIN","actor_rollout_ref.model.path: /n/netscratch/dam_lab/Everyone/rl_pretrain/OLMo2-1B-stage1-50B/step14000-hf - critic/score/mean__MAX","actor_rollout_ref.model.path: /n/netscratch/dam_lab/Everyone/rl_pretrain/OLMo2-1B-stage1-50B/step2000-hf - critic/score/mean","actor_rollout_ref.model.path: /n/netscratch/dam_lab/Everyone/rl_pretrain/OLMo2-1B-stage1-50B/step2000-hf - critic/score/mean__MIN","actor_rollout_ref.model.path: /n/netscratch/dam_lab/Everyone/rl_pretrain/OLMo2-1B-stage1-50B/step2000-hf - critic/score/mean__MAX","actor_rollout_ref.model.path: /n/netscratch/dam_lab/Everyone/rl_pretrain/OLMo2-1B-stage1-50B/step1000-hf - critic/score/mean","actor_rollout_ref.model.path: /n/netscratch/dam_lab/Everyone/rl_pretrain/OLMo2-1B-stage1-50B/step1000-hf - critic/score/mean__MIN","actor_rollout_ref.model.path: /n/netscratch/dam_lab/Everyone/rl_pretrain/OLMo2-1B-stage1-50B/step1000-hf - critic/score/mean__MAX"
"1","0.00042724609375","0.00042724609375","0.00042724609375","0.000732421875","0.000732421875","0.000732421875","0.00201416015625","0.00201416015625","0.00201416015625","0.0015869140625","0.0015869140625","0.0015869140625","0.00311279296875","0.00311279296875","0.00311279296875","0.00250244140625","0.00250244140625","0.00250244140625","0.002197265625","0.002197265625","0.002197265625","0.00054931640625","0.00054931640625","0.00054931640625","0.00030517578125","0.00030517578125","0.00030517578125"
"2","0.00067138671875","0.00067138671875","0.00067138671875","0.0008544921875","0.0008544921875","0.0008544921875","0.00262451171875","0.00262451171875","0.00262451171875","0.00091552734375","0.00091552734375","0.00091552734375","0.008544921875","0.008544921875","0.008544921875","0.0030517578125","0.0030517578125","0.0030517578125","0.0050048828125","0.0050048828125","0.0050048828125","0.00048828125","0.00048828125","0.00048828125","0.0001220703125","0.0001220703125","0.0001220703125"
"3","0.00091552734375","0.00091552734375","0.00091552734375","0.00146484375","0.00146484375","0.00146484375","0.00469970703125","0.00469970703125","0.00469970703125","0.00189208984375","0.00189208984375","0.00189208984375","0.01641845703125","0.01641845703125","0.01641845703125","0.0054931640625","0.0054931640625","0.0054931640625","0.00872802734375","0.00872802734375","0.00872802734375","0.00079345703125","0.00079345703125","0.00079345703125","0.00042724609375","0.00042724609375","0.00042724609375"
"4","0.0009765625","0.0009765625","0.0009765625","0.0010986328125","0.0010986328125","0.0010986328125","0.0042724609375","0.0042724609375","0.0042724609375","0.00177001953125","0.00177001953125","0.00177001953125","0.02215576171875","0.02215576171875","0.02215576171875","0.0054931640625","0.0054931640625","0.0054931640625","0.01171875","0.01171875","0.01171875","0.00103759765625","0.00103759765625","0.00103759765625","0.00091552734375","0.00091552734375","0.00091552734375"
"5","0.00146484375","0.00146484375","0.00146484375","0.00189208984375","0.00189208984375","0.00189208984375","0.007568359375","0.007568359375","0.007568359375","0.00323486328125","0.00323486328125","0.00323486328125","0.03363037109375","0.03363037109375","0.03363037109375","0.0091552734375","0.0091552734375","0.0091552734375","0.0191650390625","0.0191650390625","0.0191650390625","0.00152587890625","0.00152587890625","0.00152587890625","0.0008544921875","0.0008544921875","0.0008544921875"
"6","0.00177001953125","0.00177001953125","0.00177001953125","0.0029296875","0.0029296875","0.0029296875","0.00677490234375","0.00677490234375","0.00677490234375","0.0030517578125","0.0030517578125","0.0030517578125","0.04461669921875","0.04461669921875","0.04461669921875","0.00970458984375","0.00970458984375","0.00970458984375","0.02056884765625","0.02056884765625","0.02056884765625","0.0015869140625","0.0015869140625","0.0015869140625","0.0009765625","0.0009765625","0.0009765625"
"7","0.001953125","0.001953125","0.001953125","0.00311279296875","0.00311279296875","0.00311279296875","0.0076904296875","0.0076904296875","0.0076904296875","0.00335693359375","0.00335693359375","0.00335693359375","0.06280517578125","0.06280517578125","0.06280517578125","0.01312255859375","0.01312255859375","0.01312255859375","0.032958984375","0.032958984375","0.032958984375","0.00201416015625","0.00201416015625","0.00201416015625","0.00128173828125","0.00128173828125","0.00128173828125"
"8","0.002685546875","0.002685546875","0.002685546875","0.00494384765625","0.00494384765625","0.00494384765625","0.01025390625","0.01025390625","0.01025390625","0.00506591796875","0.00506591796875","0.00506591796875","0.084716796875","0.084716796875","0.084716796875","0.0172119140625","0.0172119140625","0.0172119140625","0.04473876953125","0.04473876953125","0.04473876953125","0.002685546875","0.002685546875","0.002685546875","0.00140380859375","0.00140380859375","0.00140380859375"
"9","0.00372314453125","0.00372314453125","0.00372314453125","0.00518798828125","0.00518798828125","0.00518798828125","0.01043701171875","0.01043701171875","0.01043701171875","0.00518798828125","0.00518798828125","0.00518798828125","0.09808349609375","0.09808349609375","0.09808349609375","0.02069091796875","0.02069091796875","0.02069091796875","0.05224609375","0.05224609375","0.05224609375","0.00323486328125","0.00323486328125","0.00323486328125","0.00164794921875","0.00164794921875","0.00164794921875"
"10","0.0032958984375","0.0032958984375","0.0032958984375","0.0062255859375","0.0062255859375","0.0062255859375","0.014404296875","0.014404296875","0.014404296875","0.00689697265625","0.00689697265625","0.00689697265625","0.11883544921875","0.11883544921875","0.11883544921875","0.0267333984375","0.0267333984375","0.0267333984375","0.064453125","0.064453125","0.064453125","0.004150390625","0.004150390625","0.004150390625","0.00262451171875","0.00262451171875","0.00262451171875"
